ogr_appellation;rome_code;libelle_appellation_long;libelle_appellation_court
10778;A1302;Agent / Agente technique d'élevage;Agent / Agente technique d'élevage
10789;A1302;Agent / Agente technique en produits de traitement;Agent / Agente technique en produits de traitement
11330;A1302;Assistant / Assistante sanitaire apicole;Assistant / Assistante sanitaire apicole
13594;A1302;Contrôleur / Contrôleuse de croissance de l'agriculture;Contrôleur / Contrôleuse de croissance de l'agriculture
13595;A1302;Contrôleur / Contrôleuse de culture;Contrôleur / Contrôleuse de culture
13612;A1302;Contrôleur / Contrôleuse de performance;Contrôleur / Contrôleuse de performance
13662;A1302;Contrôleur / Contrôleuse viticole;Contrôleur / Contrôleuse viticole
13642;A1302;Contrôleur laitier / Contrôleuse laitière;Contrôleur laitier / Contrôleuse laitière
13665;A1302;Contrôleur-pointeur / Contrôleuse-pointeuse;Contrôleur-pointeur / Contrôleuse-pointeuse
15918;A1302;Inséminateur artificiel / Inséminatrice artificielle;Inséminateur artificiel / Inséminatrice artificielle
17673;A1302;Peseur laitier / Peseuse laitière;Peseur laitier / Peseuse laitière
19652;A1302;Technicien / Technicienne agricole;Technicien / Technicienne agricole
19724;A1302;Technicien / Technicienne de contrôle de croissance de l'agriculture;Technicien(ne) de contrôle de croissance de l'agriculture
19736;A1302;Technicien / Technicienne de contrôle laitier;Technicien / Technicienne de contrôle laitier
19917;A1302;Technicien / Technicienne de production laitière;Technicien / Technicienne de production laitière
19951;A1302;Technicien / Technicienne des services vétérinaires;Technicien / Technicienne des services vétérinaires
10804;A1303;Agro-économiste;Agro-économiste
11522;A1303;Bio-ingénieur / Bio-ingénieure;Bio-ingénieur / Bio-ingénieure
38760;A1303;Chargé / Chargée de mission biodiversité;Chargé / Chargée de mission biodiversité
11824;A1303;Chargé / Chargée de mission en agriculture;Chargé / Chargée de mission en agriculture
11861;A1303;Chargé / Chargée de recherche en agriculture;Chargé / Chargée de recherche en agriculture
11896;A1303;Chargé / Chargée d'études agricoles;Chargé / Chargée d'études agricoles
38762;A1303;Chargé / Chargée d'études du patrimoine naturel;Chargé / Chargée d'études du patrimoine naturel
11903;A1303;Chargé / Chargée d'études économiques en agriculture;Chargé / Chargée d'études économiques en agriculture
38761;A1303;Chargé / Chargée d'études en biodiversité;Chargé / Chargée d'études en biodiversité
11906;A1303;Chargé / Chargée d'études en développement agricole;Chargé / Chargée d'études en développement agricole
11907;A1303;Chargé / Chargée d'études en développement rural;Chargé / Chargée d'études en développement rural
11910;A1303;Chargé / Chargée d'études environnement;Chargé / Chargée d'études environnement
14931;A1303;Expérimentateur / Expérimentatrice en agriculture;Expérimentateur / Expérimentatrice en agriculture
14934;A1303;Expert / Experte cynégétique;Expert / Experte cynégétique
14936;A1303;Expert / Experte en aquaculture;Expert / Experte en aquaculture
14932;A1303;Expert agricole et foncier / Experte agricole et foncière;Expert agricole et foncier / Experte agricole et foncière
14948;A1303;Expert forestier / Experte forestière;Expert forestier / Experte forestière
15575;A1303;Ingénieur / Ingénieure agro-environnement;Ingénieur / Ingénieure agro-environnement
15576;A1303;Ingénieur / Ingénieure agro-halieute;Ingénieur / Ingénieure agro-halieute
15577;A1303;Ingénieur / Ingénieure agronome;Ingénieur / Ingénieure agronome
15583;A1303;Ingénieur / Ingénieure arboricole;Ingénieur / Ingénieure arboricole
15682;A1303;Ingénieur / Ingénieure des eaux et forêts;Ingénieur / Ingénieure des eaux et forêts
15685;A1303;Ingénieur / Ingénieure des techniques forestières;Ingénieur / Ingénieure des techniques forestières
15686;A1303;Ingénieur / Ingénieure des travaux agricoles;Ingénieur / Ingénieure des travaux agricoles
15688;A1303;Ingénieur / Ingénieure des travaux des eaux et forêts;Ingénieur / Ingénieure des travaux des eaux et forêts
15692;A1303;Ingénieur / Ingénieure des travaux ruraux;Ingénieur / Ingénieure des travaux ruraux
15711;A1303;Ingénieur / Ingénieure d'études et de recherche agricoles;Ingénieur / Ingénieure d'études et de recherche agricoles
15723;A1303;Ingénieur / Ingénieure du génie rural;Ingénieur / Ingénieure du génie rural
15724;A1303;Ingénieur / Ingénieure du génie rural des eaux et forêts -IGREF-;Ingénieur/Ingénieure du génie rural des eaux et forêts IGREF
200081;A1303;Ingénieur / Ingénieure écologue;Ingénieur / Ingénieure écologue
15760;A1303;Ingénieur / Ingénieure en expérimentation animale;Ingénieur / Ingénieure en expérimentation animale
15761;A1303;Ingénieur / Ingénieure en expérimentation végétale;Ingénieur / Ingénieure en expérimentation végétale
15788;A1303;Ingénieur / Ingénieure en techniques d'expérimentation animale;Ingénieur/Ingénieure en techniques d'expérimentation animale
15814;A1303;Ingénieur / Ingénieure halieute;Ingénieur / Ingénieure halieute
15815;A1303;Ingénieur / Ingénieure horticole;Ingénieur / Ingénieure horticole
200082;A1303;Ingénieur / Ingénieure méthanisation;Ingénieur / Ingénieure méthanisation
15852;A1303;Ingénieur / Ingénieure paysagiste;Ingénieur / Ingénieure paysagiste
10806;A1401;Aide agricole en arboriculture;Aide agricole en arboriculture
10810;A1401;Aide agricole en production fruitière;Aide agricole en production fruitière
10814;A1401;Aide agricole en viticulture;Aide agricole en viticulture
10815;A1401;Aide arboricole;Aide arboricole
10862;A1401;Aide viticole;Aide viticole
10864;A1401;Aide-arboriculteur / Aide-arboricultrice;Aide-arboriculteur / Aide-arboricultrice
10886;A1401;Aide-pépiniériste;Aide-pépiniériste
10900;A1401;Aide-viticulteur / Aide-viticultrice;Aide-viticulteur / Aide-viticultrice
13853;A1401;Cueilleur / Cueilleuse de cerises;Cueilleur / Cueilleuse de cerises
13855;A1401;Cueilleur / Cueilleuse de fruits;Cueilleur / Cueilleuse de fruits
13856;A1401;Cueilleur / Cueilleuse de pêches;Cueilleur / Cueilleuse de pêches
13857;A1401;Cueilleur / Cueilleuse de poires;Cueilleur / Cueilleuse de poires
13858;A1401;Cueilleur / Cueilleuse de pommes;Cueilleur / Cueilleuse de pommes
17817;A1401;Planteur / Planteuse de bananes;Planteur / Planteuse de bananes
17892;A1401;Porteur / Porteuse de hottes;Porteur / Porteuse de hottes
20510;A1401;Vendangeur / Vendangeuse;Vendangeur / Vendangeuse
10807;A1402;Aide agricole en maraîchage-horticulture;Aide agricole en maraîchage-horticulture
10808;A1402;Aide agricole en polyculture;Aide agricole en polyculture
10809;A1402;Aide agricole en production florale;Aide agricole en production florale
10812;A1402;Aide agricole en production légumière;Aide agricole en production légumière
10813;A1402;Aide agricole en production végétale;Aide agricole en production végétale
10849;A1402;Aide horticole;Aide horticole
10853;A1402;Aide maraîcher / maraîchère;Aide maraîcher / maraîchère
11710;A1402;Castreur / Castreuse de maïs;Castreur / Castreuse de maïs
13775;A1402;Coupeur / Coupeuse de canne à sucre;Coupeur / Coupeuse de canne à sucre
13854;A1402;Cueilleur / Cueilleuse de feuilles de tabac;Cueilleur / Cueilleuse de feuilles de tabac
17818;A1402;Planteur / Planteuse de café - thé;Planteur / Planteuse de café - thé
17819;A1402;Planteur / Planteuse de canne à sucre;Planteur / Planteuse de canne à sucre
17820;A1402;Planteur / Planteuse de tabac;Planteur / Planteuse de tabac
18275;A1402;Ramasseur / Ramasseuse d'ail;Ramasseur / Ramasseuse d'ail
18276;A1402;Ramasseur / Ramasseuse d'asperges;Ramasseur / Ramasseuse d'asperges
18277;A1402;Ramasseur / Ramasseuse de champignons;Ramasseur / Ramasseuse de champignons
18278;A1402;Ramasseur / Ramasseuse de légumes;Ramasseur / Ramasseuse de légumes
18279;A1402;Ramasseur / Ramasseuse de pommes de terre;Ramasseur / Ramasseuse de pommes de terre
18281;A1402;Ramasseur / Ramasseuse d'endives;Ramasseur / Ramasseuse d'endives
10811;A1403;Aide agricole en production laitière;Aide agricole en production laitière
10825;A1403;Aide de conchyliculture;Aide de conchyliculture
10829;A1403;Aide de pisciculture;Aide de pisciculture
10832;A1403;Aide d'élevage aquacole;Aide d'élevage aquacole
10833;A1403;Aide d'élevage bovin;Aide d'élevage bovin
10834;A1403;Aide d'élevage caprin;Aide d'élevage caprin
10835;A1403;Aide d'élevage cunicole (lapins);Aide d'élevage cunicole (lapins)
10836;A1403;Aide d'élevage de chevaux;Aide d'élevage de chevaux
10837;A1403;Aide d'élevage en production de volaille;Aide d'élevage en production de volaille
10838;A1403;Aide d'élevage en production laitière;Aide d'élevage en production laitière
10839;A1403;Aide d'élevage ostréicole;Aide d'élevage ostréicole
10840;A1403;Aide d'élevage ovin;Aide d'élevage ovin
10841;A1403;Aide d'élevage porcin;Aide d'élevage porcin
10898;A1403;Aide-vacher / Aide-vachère;Aide-vacher / Aide-vachère
17546;A1403;Palefrenier / Palefrenière;Palefrenier / Palefrenière
18280;A1403;Ramasseur / Ramasseuse de volaille;Ramasseur / Ramasseuse de volaille
18282;A1403;Ramasseur / Ramasseuse d'oeufs;Ramasseur / Ramasseuse d'oeufs
19431;A1403;Sexeur / Sexeuse de volailles;Sexeur / Sexeuse de volailles
20364;A1403;Tondeur / Tondeuse de moutons;Tondeur / Tondeuse de moutons
10922;A1404;Algoculteur / Algocultrice (algues);Algoculteur / Algocultrice (algues)
11099;A1404;Aquaculteur / Aquacultrice;Aquaculteur / Aquacultrice
11361;A1404;Astaciculteur / Astacicultrice (écrevisses);Astaciculteur / Astacicultrice (écrevisses)
12511;A1404;Chef d'exploitation aquacole;Chef d'exploitation aquacole
12843;A1404;Conchyliculteur / Conchylicultrice (coquillages);Conchyliculteur / Conchylicultrice (coquillages)
13851;A1404;Crustaciculteur / Crustacicultrice (crustacés);Crustaciculteur / Crustacicultrice (crustacés)
14558;A1404;Échiniculteur / Échinicultrice (oursins);Échiniculteur / Échinicultrice (oursins)
16944;A1404;Mytiliculteur / Mytilicultrice (moules);Mytiliculteur / Mytilicultrice (moules)
17375;A1404;Ostréiculteur / Ostréicultrice (huîtres);Ostréiculteur / Ostréicultrice (huîtres)
17402;A1404;Ouvrier / Ouvrière aquacole;Ouvrier / Ouvrière aquacole
17511;A1404;Ouvrier / Ouvrière mytilicole;Ouvrier / Ouvrière mytilicole
17513;A1404;Ouvrier / Ouvrière ostréicole;Ouvrier / Ouvrière ostréicole
17517;A1404;Ouvrier / Ouvrière piscicole;Ouvrier / Ouvrière piscicole
17601;A1404;Pectiniculteur / Pectinicultrice (coquilles Saint-Jacques);Pectiniculteur / Pectinicultrice (coquilles Saint-Jacques)
17801;A1404;Pisciculteur / Piscicultrice;Pisciculteur / Piscicultrice
19303;A1404;Salmoniculteur / Salmonicultrice (saumons);Salmoniculteur / Salmonicultrice (saumons)
20467;A1404;Truiticulteur / Truiticultrice (truites);Truiticulteur / Truiticultrice (truites)
20649;A1404;Vénériculteur / Vénéricultrice (palourdes);Vénériculteur / Vénéricultrice (palourdes)
11103;A1405;Arboriculteur / Arboricultrice;Arboriculteur / Arboricultrice
11104;A1405;Arboriculteur ornemental / Arboricultrice ornementale;Arboriculteur ornemental / Arboricultrice ornementale
12112;A1405;Chef de culture arboricole;Chef de culture arboricole
12120;A1405;Chef de culture viticole;Chef de culture viticole
12374;A1405;Chef de station fruitière;Chef de station fruitière
38775;A1405;Chef d'équipe en production arboricole;Chef d'équipe en production arboricole
12519;A1405;Chef d'exploitation en arboriculture;Chef d'exploitation en arboriculture
13577;A1405;Contremaître / Contremaîtresse en arboriculture;Contremaître / Contremaîtresse en arboriculture
15172;A1405;Fruiticulteur / Fruiticultrice;Fruiticulteur / Fruiticultrice
16141;A1405;Kiwiculteur / Kiwicultrice;Kiwiculteur / Kiwicultrice
17044;A1405;Oléiculteur / Oléicultrice;Oléiculteur / Oléicultrice
17403;A1405;Ouvrier / Ouvrière arboricole;Ouvrier / Ouvrière arboricole
17490;A1405;Ouvrier / Ouvrière en arboriculture;Ouvrier / Ouvrière en arboriculture
17498;A1405;Ouvrier / Ouvrière en viticulture;Ouvrier / Ouvrière en viticulture
17540;A1405;Ouvrier viticole / Ouvrière viticole;Ouvrier viticole / Ouvrière viticole
17876;A1405;Pomiculteur / Pomicultrice;Pomiculteur / Pomicultrice
18082;A1405;Producteur / Productrice d'ananas;Producteur / Productrice d'ananas
18083;A1405;Producteur / Productrice de bananes;Producteur / Productrice de bananes
18225;A1405;Pruniculteur / Prunicultrice;Pruniculteur / Prunicultrice
18415;A1405;Régisseur / Régisseuse d'exploitation viticole;Régisseur / Régisseuse d'exploitation viticole
18996;A1405;Responsable d'exploitation viticole;Responsable d'exploitation viticole
38078;A1405;Tailleur / Tailleuse de fruitiers;Tailleur / Tailleuse de fruitiers
19624;A1405;Tailleur / Tailleuse de vigne;Tailleur / Tailleuse de vigne
20689;A1405;Vigneron manipulant / Vigneronne manipulante;Vigneron manipulant / Vigneronne manipulante
20713;A1405;Viticulteur / Viticultrice;Viticulteur / Viticultrice
11668;A1406;Capitaine de pêche;Capitaine de pêche
12733;A1406;Commandant / Commandante de pêche;Commandant / Commandante de pêche
16187;A1406;Lieutenant / Lieutenante de pêche;Lieutenant / Lieutenante de pêche
17582;A1406;Patron / Patronne à la pêche;Patron / Patronne à la pêche
17583;A1406;Patron / Patronne de pêche;Patron / Patronne de pêche
19355;A1406;Second / Seconde de pêche;Second / Seconde de pêche
10802;A1407;Agriculteur / Agricultrice de production laitière;Agriculteur / Agricultrice de production laitière
10966;A1407;Ânier / Ânière;Ânier / Ânière
11583;A1407;Bouvier / Bouvière;Bouvier / Bouvière
12869;A1407;Conducteur / Conductrice d'atelier de production animale bovine ou équine;Conducteur(trice) d'atelier de prod animale bovine ou équine
12872;A1407;Conducteur / Conductrice d'atelier de vaches allaitantes;Conducteur / Conductrice d'atelier de vaches allaitantes
14684;A1407;Éleveur / Éleveuse d'ânes;Éleveur / Éleveuse d'ânes
14688;A1407;Éleveur / Éleveuse de bisons;Éleveur / Éleveuse de bisons
14689;A1407;Éleveur / Éleveuse de bovins;Éleveur / Éleveuse de bovins
14694;A1407;Éleveur / Éleveuse de chevaux;Éleveur / Éleveuse de chevaux
14708;A1407;Éleveur / Éleveuse de poneys;Éleveur / Éleveuse de poneys
14711;A1407;Éleveur / Éleveuse de poulains;Éleveur / Éleveuse de poulains
14715;A1407;Éleveur / Éleveuse de taurillons;Éleveur / Éleveuse de taurillons
14716;A1407;Éleveur / Éleveuse de vaches laitières;Éleveur / Éleveuse de vaches laitières
14717;A1407;Éleveur / Éleveuse de vaches laitières et de bétail viande;Éleveur / Éleveuse de vaches laitières et de bétail viande
14718;A1407;Éleveur / Éleveuse de veaux de boucherie;Éleveur / Éleveuse de veaux de boucherie
14724;A1407;Éleveur / Éleveuse en production bovine et/ou équine;Éleveur / Éleveuse en production bovine et/ou équine
14730;A1407;Éleveur-sélectionneur / Éleveuse-sélectionneuse en production bovine et/ou équine;Éleveur(se)-sélectionneur(se) production bovine et/ou équine
14906;A1407;Étalonnier / Étalonnière;Étalonnier / Étalonnière
15211;A1407;Gardian;Gardian
16330;A1407;Manadier / Manadière;Manadier / Manadière
17389;A1407;Ouvrier / Ouvrière agricole en production bovine;Ouvrier / Ouvrière agricole en production bovine
17394;A1407;Ouvrier / Ouvrière agricole en production équine;Ouvrier / Ouvrière agricole en production équine
17395;A1407;Ouvrier / Ouvrière agricole en production laitière;Ouvrier / Ouvrière agricole en production laitière
17456;A1407;Ouvrier / Ouvrière de production bovine;Ouvrier / Ouvrière de production bovine
17463;A1407;Ouvrier / Ouvrière d'élevage en production bovine;Ouvrier / Ouvrière d'élevage en production bovine
17464;A1407;Ouvrier / Ouvrière d'élevage en production bovine biologique;Ouvrier / Ouvrière d'élevage en production bovine biologique
17468;A1407;Ouvrier / Ouvrière d'élevage en production équine;Ouvrier / Ouvrière d'élevage en production équine
17471;A1407;Ouvrier / Ouvrière d'élevage laitier bovin;Ouvrier / Ouvrière d'élevage laitier bovin
18085;A1407;Producteur / Productrice de lait bovin;Producteur / Productrice de lait bovin
18098;A1407;Producteur / Productrice de viande bovine;Producteur / Productrice de viande bovine
18099;A1407;Producteur / Productrice de viande équine;Producteur / Productrice de viande équine
18890;A1407;Responsable de troupeau;Responsable de troupeau
18900;A1407;Responsable d'élevage bovin;Responsable d'élevage bovin
